tweet,hashtags
"Lock me down, threaten me, sack me, put a gun to my head but I WILL NOT accept your poison and there are HUNDREDS OF MILLIONS who KNOW the same as me, who oppose you the same as me #vaccine #greenpass #Covid #lockdown","['vaccine', 'greenpass', 'covid', 'lockdown']"
#Pfizer e-mails released (VIDEO:  https://t.co/ecIXMqQd1W). #Iniezioni #Vaccino #GreenPass #SuperGreenPass #Roma #CircoMassimo #Milano #Vaccinatevi_e_basta #Vaticano #BillGates #Vaccines @a_meluzzi,"['pfizer', 'iniezioni', 'vaccino', 'greenpass', 'supergreenpass', 'roma', 'circomassimo', 'milano', 'vaccinatevi_e_basta', 'vaticano', 'billgates', 'vaccines']"
Anonymous - Message to Police and Military ‼️  #Anonymous #HumanRights #Freedom #Plandemic #GreenPass #Covid19  https://t.co/t61zrFvf6D,"['anonymous', 'humanrights', 'freedom', 'plandemic', 'greenpass', 'covid19']"
@ispionline @ItalyMFA @JosepBorrellF What about #greenpass for migrants?,['greenpass']
".@MaajidNawaz @LBC Do you need a Nazi ID Card, aka #VaccinePassports #PassSanitaires #GreenPass - to pay taxes? I bet not. WE MUST SMASH THESE NAZIS before they implement their #WEF #UN #FinalSolution plan. #LBC #genocide #CrimesAgainstHumanity","['vaccinepassports', 'passsanitaires', 'greenpass', 'wef', 'un', 'finalsolution', 'lbc', 'genocide', 'crimesagainsthumanity']"
9/11:Covid=Patriot Act:Green Pass. prove me wrong. #Covid #greenpass #InsideJob,"['covid', 'greenpass', 'insidejob']"
"🇬🇧 To enter the #bus, from 6 december 2021, you must have your #greenpass, #EUDigitalCOVIDCertificate. You must show it in case of controls.  https://t.co/anowHVqqi5","['bus', 'greenpass', 'eudigitalcovidcertificate']"
 https://t.co/WsKh03NYcy #Greenpass in #Austria  #valability is reduced from 360  to 270 days. #Oesterreich #justsaying,"['greenpass', 'austria', 'valability', 'oesterreich', 'justsaying']"
"The case of Tengzhou high-speed railway station, using JAEMONT GK728 health QR code green pass reader.   Email: Jaemont@jaemont.com WhatsApp: 8613421800637  #security #accesscontrol #accesscontrolsystem #biometric #healthcode #qrcode #greenpass #case #trainstation #health #safety  https://t.co/0rXUI1k965","['security', 'accesscontrol', 'accesscontrolsystem', 'biometric', 'healthcode', 'qrcode', 'greenpass', 'case', 'trainstation', 'health', 'safety']"
Humorous drama between security and staff.  accesscontrolsystem healthcode qrcode greenpass scanner reader  ✅ Email: Jaemont@jaemont.com Web:  https://t.co/wIbKTsBZqz WhatsApp: 8613421800637  #security #accesscontrol #accesscontrolsystem #biometric #healthcode #qrcode #greenpass  https://t.co/9o2JBF1Xpn,"['security', 'accesscontrol', 'accesscontrolsystem', 'biometric', 'healthcode', 'qrcode', 'greenpass']"
We are an Inhuman Race. Follow the Bio Genocide. #vaxxtyranny  #greenpass  #CovidVaccine  @ForbiddenMetal  https://t.co/UPDEp4EwRq,"['vaxxtyranny', 'greenpass', 'covidvaccine']"
"Ah, he was so close!  #greenpass #GetVaccinatedNow #vaccinatevi_e_basta ""The nurse told local media that when she had rolled up his sleeve, she found the skin ""rubbery and cold"" and the pigment ""too light"".""","['greenpass', 'getvaccinatednow', 'vaccinatevi_e_basta']"
Germany has learned absolutely nothing from its history. I am disgusted with my ancestral country.  #MandatoryVaccination #greenpass #medicalApartheid,"['mandatoryvaccination', 'greenpass', 'medicalapartheid']"
"True story: a #vaccine-skeptic in northern Italy tried to get vaccinated in a fake foam-rubber arm yesterday so he could qualify for a #coronavirus #greenpass w/o actually getting the shot.   Say what you want, folks, but #Italy's always innovating.  #Covid19 #CovidVaccine #NoVax  https://t.co/J8sbToPCCj","['vaccine', 'coronavirus', 'greenpass', 'italy', 'covid19', 'covidvaccine', 'novax']"
@alinomilan Caro Leader #supergreenpass   #greenpass #GreenpassObbligatorio  https://t.co/6RulwRMh4L,"['supergreenpass', 'greenpass', 'greenpassobbligatorio']"
"""Stop the inappropriate stigmatisation of unvaccinated people, who include our patients, colleagues, and other fellow citizens, and to put extra effort into bringing society together."" #greenpass #PasaporteCovid #PaseSanitario #COVID19 #Omicron  https://t.co/jlbHs1hjg3","['greenpass', 'pasaportecovid', 'pasesanitario', 'covid19', 'omicron']"
"Stay home, don't use the #greenpass  https://t.co/by1DeAagHR",['greenpass']
Geniale 😂 #COVID19 #GreenPassrafforzato #greenpass  https://t.co/Tt4FjKNcem,"['covid19', 'greenpassrafforzato', 'greenpass']"
"This is what the #greenpass was thinking before entering your country, anywhere in the world",['greenpass']
"Nothing like the 1930s...  'As a public administrator with 3 elected offices, I make a proposal. Is #novax unwelcome to #greenpass #novax A valid alternative is to equip all non-vaccinated people with a distinctive sign in order to prevent them from accessing the social network'","['novax', 'greenpass', 'novax']"
#Luxembourg #MBS maybe you should block the bridge to kirchberg #covidcheck #passedelahonte #PasseSanitaire #greenpass  https://t.co/HpUcJvlxlz,"['luxembourg', 'mbs', 'covidcheck', 'passedelahonte', 'passesanitaire', 'greenpass']"
MEPs fighting for freedom in the EU. Defending peoples' rights against mandatory digital certificate  https://t.co/BPyy7cRtuY   #fightforfreedom #resistance #EUCommission  #greenpass #covidpassport #PassSanitaire,"['fightforfreedom', 'resistance', 'eucommission', 'greenpass', 'covidpassport', 'passsanitaire']"
"Hearing that #italy is introducing SUPER #GREENPASS to lock out ""pesky HEALTHY ""antivaxxers"""" from public spaces!!  ITALIANS BURNING DOWN ALL GOVERNMENT BUILDINGS IN 3, 2, 1...   #DONTFUCKWITHITALIANS- #THEYWILLENDYOU #MAFIALIKEBALKANS","['italy', 'greenpass', 'dontfuckwithitalians', 'theywillendyou', 'mafialikebalkans']"
I support the position of the Patriarchate of Romania: no #greenpass certificate in churches. Access to a sacred space cannot be conditioned. The same goes for all other public spaces. #NoGreenPass #NoMandatoryVaccine  https://t.co/hASBvnoyqx,"['greenpass', 'nogreenpass', 'nomandatoryvaccine']"
Bayer executive: mRNA shots are ‘gene therapy’ marketed as ‘vaccines’ to gain public trust  #Covid19 #Plandemic #Event201 #koronafi #koronarokote #koronapassi #greenpass  #PCRTestPandemic #CrimesAgainstHumanity  #Nuremberg2 #Nuremberg2ticktock  #Yle #THL   https://t.co/G3h9R7IgeW,"['covid19', 'plandemic', 'event201', 'koronafi', 'koronarokote', 'koronapassi', 'greenpass', 'pcrtestpandemic', 'crimesagainsthumanity', 'nuremberg2', 'nuremberg2ticktock', 'yle', 'thl']"
"There are doctors to talk about health, it's completely ok if they don't always agree with each other because it's science and this means study, investigating, questioning,...  Don't follow blindly orders because your governments say so!  #covidcheck #PasseSanitaire #greenpass","['covidcheck', 'passesanitaire', 'greenpass']"
The Lancet Admits It’s A Pandemic Of The Vaccinated &amp; All Evidence Shows Omicron Not More Dangerous #EU #Covid19 #greenpass #koronafi #koronarokotus #koronapassi #yle @yleuutiset #Mediapooli #Nato #Hybridikeskus #Fakenews lied 24/7 for 2 years #Nuremberg2   https://t.co/eMLjEzPmr7,"['eu', 'covid19', 'greenpass', 'koronafi', 'koronarokotus', 'koronapassi', 'yle', 'mediapooli', 'nato', 'hybridikeskus', 'fakenews', 'nuremberg2']"
Live Broadcast SkyTg24 - Milan (Italy)  #time4stream #skytg24  #news #informazione #crewtv #broadcast #italia🇮🇹 #liveU #covid19italia #sanità #update #cronaca #news #live  #start #scuola #tamponi #greenpass #elezioni #comunali  https://t.co/3SZmGrKm2T,"['time4stream', 'skytg24', 'news', 'informazione', 'crewtv', 'broadcast', 'italia', 'liveu', 'covid19italia', 'sanità', 'update', 'cronaca', 'news', 'live', 'start', 'scuola', 'tamponi', 'greenpass', 'elezioni', 'comunali']"
"Certain people are denied the access to local busses, trains, cinemas, restaurants, bar- there were episodes where, if you didnt have the #greenpass ER would DENY entry. #Policebrutality is happening daily. #Italy is slowly becoming a dictatorship based on #MandatoryVaccination","['greenpass', 'policebrutality', 'italy', 'mandatoryvaccination']"
This is not movie #Covidcheck #passedelahonte #greenpass,"['covidcheck', 'passedelahonte', 'greenpass']"
OK this is  pure genius: Italian #antivaxxer wears a fake silicone arm in bid to obtain covid #greenpass without getting an actual jab   https://t.co/ic5rrLaZQ7,"['antivaxxer', 'greenpass']"
@dottorbarbieri News ⚠️⚠️⚠️ . #news #vax #novax #NoGreenPass  #voto #draghi #greenpass #greenpasspremium #m5s #lega #salvini #fdi #leu #pd #pfizergate #terzadose #mivaccino #nessunacorrelazione #terzadose  .  https://t.co/XIhkJOoW8O,"['news', 'vax', 'novax', 'nogreenpass', 'voto', 'draghi', 'greenpass', 'greenpasspremium', 'm5s', 'lega', 'salvini', 'fdi', 'leu', 'pd', 'pfizergate', 'terzadose', 'mivaccino', 'nessunacorrelazione', 'terzadose']"
News ⚠️⚠️⚠️ . #news #vax #novax #NoGreenPass  #voto #draghi #greenpass #greenpasspremium #m5s #lega #salvini #fdi #leu #pd #pfizergate #terzadose #mivaccino #nessunacorrelazione #terzadose  https://t.co/srS8syO2P1,"['news', 'vax', 'novax', 'nogreenpass', 'voto', 'draghi', 'greenpass', 'greenpasspremium', 'm5s', 'lega', 'salvini', 'fdi', 'leu', 'pd', 'pfizergate', 'terzadose', 'mivaccino', 'nessunacorrelazione', 'terzadose']"
@Henrik_Palmgren @Kristine29ha The so called 'Good Health Pass Collaborative' has nothing to do with Health. It's warmongering World Domination. Every politician who promote this is a corrupt monster. Say #NO to #QRcode #greenpass #PassSanitaire #EU #Gates,"['no', 'qrcode', 'greenpass', 'passsanitaire', 'eu', 'gates']"
"How can the FDA still going forwards with boosters and vaccinating children, while the documents released shows a crazy number of adverse effects and desths after only 2 month. Can someone explain to me?   #greenpass #CovidVaccine #COVID19","['greenpass', 'covidvaccine', 'covid19']"
🚨BREAKING NEWS 💥 #Bosnian supreme court suspended #covid pass! In Bosnia there Will be no obligations with covid pass. The video shows Mirnes Ajanovic who lead the lawsuit and won. Decision is final‼️ #greenpass #redline #NoVaccinePassports #novaccinemandate,"['bosnian', 'covid', 'greenpass', 'redline', 'novaccinepassports', 'novaccinemandate']"
@DrSkues @PKudrel But stil they introduce the #greenpass It is not about covid. It is about totalitarian social credit control. And they get it !!! Open up your eyes for freedom.,['greenpass']
⚠️#Norway 4 individuals are carriers of #omicron : all of them are vaccinated‼️ #greenpass is useless and dangerous. Vaccinated people contaminate all countries as Australia. Vaccinated people must be tested. mRNA/DNA vaccines are the cause of this disaster‼️,"['norway', 'omicron', 'greenpass']"
Are you planning to visit #museums in #Venice such as the @DucaleVenezia or @CaRezzonico (any of the @visitmuve_it) between Dec. 6 and Jan. 15? Then you will only be allowed if you have the #greenpass --which means a negative c19 test won't work (ph. from  museums' website)  https://t.co/zOUXTuWsqw,"['museums', 'venice', 'greenpass']"
"A booster vaccination every nine months: the #EU's vaccination subscription is taking shape. The #Greenpass will no longer be valid for one year, regardless of the #vaccine. Citizens are being betrayed and sold to #BigPharma! #ID #Corona @AndersonAfDMdEP","['eu', 'greenpass', 'vaccine', 'bigpharma', 'id', 'corona']"
#Covid19Belgique #COVID19belgie #COVID19BE   @NotreBonDroit if you want to follow the Belgian organization that made #greenpass go away...   #ehealth #digitalcontrol,"['covid19belgique', 'covid19belgie', 'covid19be', 'greenpass', 'ehealth', 'digitalcontrol']"
#WuMing  differences that count  #Italy  #greenpass and the hate campaign  https://t.co/wGIcm6ordG,"['wuming', 'italy', 'greenpass']"
@Breaking911 traveling to countries that do not apply #vpass atau #greenpass? idiot!,"['vpass', 'greenpass']"
"@ollysmithtravel @ollysmithtravel i fully agree with you, #vaccinepassports (#greenpass) are absolute nonsense. However in posts like these pls include official sources. Ppl on here are to lazy to do an real due diligence on their own. 👍","['vaccinepassports', 'greenpass']"
Belgian court rules COVID pass illegal in Wallonia  #Covid19 #koronafi #Koronarokote #koronapassi #greenpass #truth  #PCRTestPandemic  #CrimesAgainstHumanity  #Yle @yleuutiset #Mediapooli #Hybridikeskus #OperationMockingbird #Nato #EU=Soviet Union 2.0   https://t.co/ZFpslnkmeh,"['covid19', 'koronafi', 'koronarokote', 'koronapassi', 'greenpass', 'truth', 'pcrtestpandemic', 'crimesagainsthumanity', 'yle', 'mediapooli', 'hybridikeskus', 'operationmockingbird', 'nato', 'eu']"
"@SVL_1971 @PeterSweden7 I didn't have one, and I hope this madness of compulsory vaccination is stopped from going forward. The #Greenpass is already a way to force us take the vaccine.",['greenpass']
Black Book. #vaccini #follia #biopolitica  #greenpass #Nogreenpass #Supergreenpass #neonazismo  https://t.co/0ZcVgTWMEU,"['vaccini', 'follia', 'biopolitica', 'greenpass', 'nogreenpass', 'supergreenpass', 'neonazismo']"
At the gates of heaven - Dead-man: Here's my #greenpass  God: What? Dead-man: The church wanted me to have 1 to enter.  God: Not necessary here. Even I'm not #vaccinated   Moral - Even God's with the #novax people. #uk #USA #Italia #Bulgaria #Germany #Austria @ItaliaNEWS #COVID19,"['greenpass', 'vaccinated', 'novax', 'uk', 'usa', 'italia', 'bulgaria', 'germany', 'austria', 'covid19']"
@Farlontakeyr @jimmy_sonatine in fact I said that #novax #nogreenpass have to PAY for the treatments that the Italian #SSN passes today for free. God forbid we continue to save these demented people who fall ill with #Covid by going around demonstrating against the #greenpass. Pure madness!,"['novax', 'nogreenpass', 'ssn', 'covid', 'greenpass']"
#CovidPass deemed illegal in Belgium @manhattan_2 #resistencia #gobiernoDimisión #EUfailed #doNotComply #democraciaTotalitaria #greenPass #pasaporteCovid  https://t.co/JT3js822Q9,"['covidpass', 'resistencia', 'gobiernodimisión', 'eufailed', 'donotcomply', 'democraciatotalitaria', 'greenpass', 'pasaportecovid']"
In #Italy a State Counselor that opposes the #greenpass is not allowed inside the State House as he is not #jabbed for #covid. He has set up an external #Office camp and is working from there in the #cold since months. #NoGreenPass @Reuters @BBCWorld @AJEnglish,"['italy', 'greenpass', 'jabbed', 'covid', 'office', 'cold', 'nogreenpass']"
"ZKTeco partner Bavaria Zeitsysteme was an exhibitor at the #SecurityExpo 2021 in #Munich and after the official opening, Bavaria´s Minister of the Interior Joachim Herrmann was shown ZK Green Pass solution →  https://t.co/OuIoZ0I1ss #ZKTeco #ZKTecoEurope #Biometrics #GreenPass  https://t.co/JZwBQqn9ja","['securityexpo', 'munich', 'zkteco', 'zktecoeurope', 'biometrics', 'greenpass']"
Liquid Chlorophyll ES - Health Avenues:  https://t.co/iaEMddFmsY   #supergreenpass #supergreens #greenpass #green #GreenEnergy #GreenWall #HealthIsWealth #Health #healthcare #HealthyEating #HealthyFood #HealthyPeopleHealthyNation #healthierhappenstogether #100dayOfCode  https://t.co/b5K8qJtH3P,"['supergreenpass', 'supergreens', 'greenpass', 'green', 'greenenergy', 'greenwall', 'healthiswealth', 'health', 'healthcare', 'healthyeating', 'healthyfood', 'healthypeoplehealthynation', 'healthierhappenstogether', '100dayofcode']"
Liquid Chlorophyll ES - Health Avenues:  https://t.co/iaEMddFmsY   #supergreenpass #supergreens #greenpass #green #GreenEnergy #GreenWall #HealthIsWealth #Health #healthcare #flushot #HealthyFood #HealthyPeopleHealthyNation #healthierhappenstogether #MedTwitter #MedEd  https://t.co/vd0GMKqXO4,"['supergreenpass', 'supergreens', 'greenpass', 'green', 'greenenergy', 'greenwall', 'healthiswealth', 'health', 'healthcare', 'flushot', 'healthyfood', 'healthypeoplehealthynation', 'healthierhappenstogether', 'medtwitter', 'meded']"
Liquid Chlorophyll ES - Health Avenues:  https://t.co/iaEMddFmsY   #supergreenpass #supergreens #greenpass #green #GreenEnergy #GreenWall #HealthIsWealth #Health #healthcare #HealthyEating #HealthyFood #HealthyPeopleHealthyNation #healthierhappenstogether #marketingtwitter  https://t.co/9fYlWjaLAt,"['supergreenpass', 'supergreens', 'greenpass', 'green', 'greenenergy', 'greenwall', 'healthiswealth', 'health', 'healthcare', 'healthyeating', 'healthyfood', 'healthypeoplehealthynation', 'healthierhappenstogether', 'marketingtwitter']"
❗Keep religious services outside #greenpass control❗ This is nothing more than a political instrument.   #ReligiousFreedom  #NoGreenPassObbligatorio,"['greenpass', 'religiousfreedom', 'nogreenpassobbligatorio']"
@arstechnica You need the #greenpass to play the game,['greenpass']
2/2 NOTICE TO THE POPULATION+++ Communication without conflicts of interest #COVID19 #COVID #PCR #DeltaVariant #Omicron #OmicronVariant #coronavirus #GreenPass #PCR #Europe #UK #USA #Canada #Israel #NewZealand  https://t.co/4eCeQdpYZC,"['covid19', 'covid', 'pcr', 'deltavariant', 'omicron', 'omicronvariant', 'coronavirus', 'greenpass', 'pcr', 'europe', 'uk', 'usa', 'canada', 'israel', 'newzealand']"
1/2 NOTICE TO THE POPULATION+++ Communication without conflicts of interest #COVID19 #COVID #PCR #DeltaVariant #Omicron #OmicronVariant #coronavirus #GreenPass #PCR #Europe #UK #USA #Canada #Israel @drsimonegold @PierreKory @abirballan @NickHudsonCT @SentaDepuydt @idrissaberkane  https://t.co/8qJzoGk20z,"['covid19', 'covid', 'pcr', 'deltavariant', 'omicron', 'omicronvariant', 'coronavirus', 'greenpass', 'pcr', 'europe', 'uk', 'usa', 'canada', 'israel']"
New Al Hosn app update: Green Pass will only be active for 14 days The new Green Pass protocol will be effective from December 5 #alhosn #greenpass    https://t.co/u38yEopvkV,"['alhosn', 'greenpass']"
 https://t.co/i6eyhhkHX0 Outstanding! #greenpass,['greenpass']
Super #greenpass  https://t.co/lcWiPeeeH3,['greenpass']
I'm mildly concerned about the #greenpass how is possible the legislature doesn't contemplate non European residents...,['greenpass']
1000€ d'amende si un italien non vacciné sans pass prend le bus.  1000€ fine if an unvaccinated Italian takes a bus without a greenpass.  Sending a good luck to Italians from France   #3edose #3emedose #mauricette #PassSanitaire #greenpass #NonAuPassDeLaHonte #cnil #vaccination,"['3edose', '3emedose', 'mauricette', 'passsanitaire', 'greenpass', 'nonaupassdelahonte', 'cnil', 'vaccination']"
12. #Italy #NoVaccinePassport #GreenPass #Covid19 restrictions #December1st  the Wide Wide Revolution has begun  https://t.co/U5HctlMJ4b,"['italy', 'novaccinepassport', 'greenpass', 'covid19', 'december1st']"
"#COVID19 - #Belgium #Wallonie   The CST (#CovidSafeTicket - #greenpass) is illegal and must be removed within 7days, as it promotes discrimination between citizens, pone serious issues with data protection and not only, going straight against EU laws   https://t.co/Z54LlmIA4b","['covid19', 'belgium', 'wallonie', 'covidsafeticket', 'greenpass']"
