,hashtags,tweet
20,"['vienne', 'autriche', 'manifs4decembre', 'lockdown', 'greenpass', 'vaccinemandate']","['vienn', 'autrich', 'manifs4decembr', 'lockdown', 'greenpass', 'vaccinemand']"
21,"['greenpass', 'greenpassrafforzato', 'development', 'nodejs', 'javascript', 'opensource']","['new', 'version', 'verificac19', 'sdk', 'nodej', 'releas', 'version', '050', 'includ', 'super', 'green', 'pas', 'support', 'minor', 'fix', 'changelog', 'httpstcovzzksvnprn', 'greenpass', 'greenpassrafforzato', 'develop', 'nodej', 'javascript', 'opensourc']"
22,"['vaccine', 'covid19', 'greenpass']","['respect', 'promot', 'protect', 'freedom', 'inform', 'vaccin', 'consent', 'throughout', 'euro', 'httpstcon9aa9vylfb', 'vaccin', 'covid19', 'greenpass']"
23,"['covid19', 'greenpass', 'italia']","['covid19', 'greenpass', 'tomorrow', 'mandatori', 'everyth', 'italia', 'ask', 'tourist', 'come', 'beauti', 'countri', 'get', 'vaccin', 'covid', 'popul', 'vaccin', 'plea', 'get', 'stay', 'home']"
24,"['freedom', 'greenpass']","['twinkle98088542', 'davizharrid', 'freedom', 'without', 'greenpass']"
25,"['greenpass', 'novaccinepassports', 'catnoalpasscovid']","['place', 'ask', 'greenpass', 'let', 'use', 'googl', 'review', 'tripadvisoretc', 'lower', 'scorethat', 'choos', 'fine', 'request', 'pas', 'later', 'appeal', 'substanti', 'loss', 'due', 'loss', 'custom', 'novaccinepassport', 'catnoalpasscovid']"
26,"['luxembourg', 'greenpass']","['luxembourg', 'anti', 'greenpass', 'demonstr', 'overrid', 'entri', 'control', 'christma', 'market', 'greenpass', 'use']"
27,"['belgium', 'greenpass', 'novaccinepassports', 'novaccinemandates', 'pasaportecovid', 'vacunacovid19', 'greenpassobbligatorio', 'passaportesanitarionao', 'nogreenpass', 'vaccinationobligatoire']","['belgium', 'greenpass', 'novaccinepassport', 'novaccinemand', 'pasaportecovid', 'vacunacovid19', 'greenpassobbligatorio', 'passaportesanitarionao', 'nogreenpass', 'vaccinationobligatoir']"
28,"['greenpass', 'novaccinepassports', 'novaccinemandates', 'pasaportecovid', 'vacunacovid19', 'greenpassobbligatorio', 'passaportesanitarionao', 'nogreenpass', 'vaccinationobligatoire']","['call', 'allianc', 'greenpass', 'novaccinepassport', 'novaccinemand', 'pasaportecovid', 'vacunacovid19', 'greenpassobbligatorio', 'passaportesanitarionao', 'nogreenpass', 'vaccinationobligatoir']"
29,"['giovani', 'nogreenpass', 'draghi', 'dittatura', 'italia', 'greenpass', 'covid']","['thread', '⬇️⬇️⬇️', 'giovani', 'nogreenpass', 'draghi', 'dittatura', 'italia', 'greenpass', 'covid']"
30,"['greenpass', 'novaccinepassports', 'novaccinemandates']","['place', 'ask', 'greenpass', 'let', 'use', 'googl', 'review', 'tripadvisoretc', 'lower', 'scorethat', 'choos', 'fine', 'request', 'pas', 'later', 'appeal', 'substanti', 'loss', 'due', 'loss', 'custom', 'novaccinepassport', 'novaccinemand']"
31,"['covid', 'greenpass', 'covidvaccins']","['truth', 'come', 'known', 'everywher', 'stop', 'insan', 'covid', 'measur', 'stop', 'greenpass', 'stop', 'use', 'danger', 'covidvaccin', 'freedom', 'flaviokp25', 'annstrikj', 'mariannezw', 'bartmaes16']"
32,"['greenpass', 'nogreenpass']","['milan', 'feroci', 'repress', 'polic', 'loyal', 'mario', 'draghi', 'peac', 'defenseless', 'woman', 'health', 'passport', 'greenpass', 'nogreenpass', 'httpstcomqrwssp7cd']"
33,"['cybersecurity', 'cybercrime', 'greenpass', 'infosec', 'nopass', 'novax', 'privacy']","['nogreenpass', 'e', 'raidforum', 'leoni', 'da', 'tastiera', '🇮🇹', 'il', 'report', 'httpstcodzorlg71e3', 'cybersecur', 'cybercrim', 'greenpass', 'infosec', 'nopass', 'novax', 'privaci']"
34,"['italy', 'greenpass', 'newnazi']","['itali', 'ikeaitalia', 'segreg', 'unvaccin', 'via', 'greenpass', 'sign', 'say', 'without', 'pas', 'takeaway', '“enjoy”', 'comfort', 'eat', 'area', 'set', 'basement', 'carpark', 'utterli', 'disgust', 'dehumanis', 'ikea', 'goe', 'histori', 'newnazi', 'httpstcoyh7f8yckvi']"
35,"['italy', 'greenpass', 'extortion']","['itali', 'unvaccin', 'child', 'cannot', 'go', 'trip', 'attend', 'confer', 'even', 'take', 'bu', 'school', 'without', 'greenpass', 'peopl', 'forc', 'vaccin', 'extort', 'plea', 'share', 'need', 'foreign', 'press', 'nytim', 'elpaisespana', 'lemondem', 'httpstcodvsyqylxhz']"
36,"['eu', 'greenpass']","['eujustic', 'oh', 'know', 'nomin', 'eu', 'greenpass', 'httpstcoxinuukdrli']"
37,"['omicron', 'covid_19', 'greenpass', 'mandate']","['positiveactionu', 'jagonews24', 'yahoonew', 'bbc', '4', 'omicron', 'extraordinari', 'step', 'show', 'govern', 'desper', 'safeguard', 'public', 'health', 'austria', 'announc', 'covid', 'vaccin', 'mandat', 'cross', 'threshold', 'httpstcow3zodje0w2', 'via', 'nytim', 'covid19', 'greenpass', 'mandat']"
38,"['italy', 'milan', 'nogreenpass', 'greenpass', 'draghistan']","['help', 'u', 'itali', 'milan', 'nogreenpass', 'greenpass', 'draghistan', 'lefigaro', 'lemondefr', 'lacroix', 'faznet', 'derspiegel', 'welt', 'thetim', 'telegraph', 'elmundo', 'libe', 'bbcworld', 'telegraph', 'wsj', 'petersweden7', 'deitaon', 'reuter', 'quicktak', 'financialtim', 'nytim', 'europarl', 'europarlen', 'onu']"
39,"['qrsamenleving', 'qrcode', 'greenpass']","['qrsamenlev', 'qrcode', 'stop', 'delet', 'greenpass']"
40,"['supergreenpass', 'greenpass', '6dicembre', 'zonabianca', 'zonagialla', 'novax', 'rpm']","['theyr', 'pictur', 'mg', 'supergreenpass', 'greenpass', '6dicembr', 'zonabianca', 'zonagialla', 'novax', 'rpm', 'httpstco0eqpjw9a7n']"
41,['greenpass'],"['millennium', 'success', 'avoid', 'mistak', 'last', 'centuri', 'unfortun', 'win', 'greenpass', 'httpstcop1tm89kqf7']"
42,"['vaccine', 'greenpass', 'covid', 'lockdown']","['lock', 'threaten', 'sack', 'put', 'gun', 'head', 'accept', 'poison', 'hundr', 'million', 'know', 'oppos', 'vaccin', 'greenpass', 'covid', 'lockdown']"
43,"['pfizer', 'iniezioni', 'vaccino', 'greenpass', 'supergreenpass', 'roma', 'circomassimo', 'milano', 'vaccinatevi_e_basta', 'vaticano', 'billgates', 'vaccines']","['pfizer', 'email', 'releas', 'video', 'httpstcoecixmqqd1w', 'iniezioni', 'vaccino', 'greenpass', 'supergreenpass', 'rom', 'circomassimo', 'milano', 'vaccinateviebasta', 'vaticano', 'billgat', 'vaccin', 'ameluzzi']"
44,"['anonymous', 'humanrights', 'freedom', 'plandemic', 'greenpass', 'covid19']","['anonym', 'messag', 'polic', 'militari', '‼️', 'anonym', 'humanright', 'freedom', 'plandem', 'greenpass', 'covid19', 'httpstcot61zrfvf6d']"
45,['greenpass'],"['ispionlin', 'italymfa', 'josepborrellf', 'greenpass', 'migrant']"
46,"['vaccinepassports', 'passsanitaires', 'greenpass', 'wef', 'un', 'finalsolution', 'lbc', 'genocide', 'crimesagainsthumanity']","['maajidnawaz', 'lbc', 'need', 'nazi', 'id', 'card', 'aka', 'vaccinepassport', 'passsanitair', 'greenpass', 'pay', 'tax', 'bet', 'must', 'smash', 'nazi', 'implement', 'wef', 'un', 'finalsolut', 'plan', 'lbc', 'genocid', 'crimesagainsthuman']"
47,"['covid', 'greenpass', 'insidejob']","['911covidpatriot', 'actgreen', 'pas', 'prove', 'wrong', 'covid', 'greenpass', 'insidejob']"
48,"['bus', 'greenpass', 'eudigitalcovidcertificate']","['🇬🇧', 'enter', 'bu', '6', 'decemb', '2021', 'must', 'greenpass', 'eudigitalcovidcertif', 'must', 'show', 'case', 'control', 'httpstcoanowhvqqi5']"
49,"['greenpass', 'austria', 'valability', 'oesterreich', 'justsaying']","['', 'httpstcowskh03nyci', 'greenpass', 'austria', 'valabl', 'reduc', '360', '270', 'day', 'oesterreich', 'justsay']"
50,"['security', 'accesscontrol', 'accesscontrolsystem', 'biometric', 'healthcode', 'qrcode', 'greenpass', 'case', 'trainstation', 'health', 'safety']","['case', 'tengzhou', 'highspe', 'railway', 'station', 'use', 'jaemont', 'gk728', 'health', 'qr', 'code', 'green', 'pas', 'reader', 'email', 'jaemontjaemontcom', 'whatsapp', '8613421800637', 'secur', 'accesscontrol', 'accesscontrolsystem', 'biometr', 'healthcod', 'qrcode', 'greenpass', 'case', 'trainstat', 'health', 'safeti', 'httpstco0rxui1k965']"
51,"['security', 'accesscontrol', 'accesscontrolsystem', 'biometric', 'healthcode', 'qrcode', 'greenpass']","['humor', 'drama', 'secur', 'staff', 'accesscontrolsystem', 'healthcod', 'qrcode', 'greenpass', 'scanner', 'reader', '✅', 'email', 'jaemontjaemontcom', 'web', 'httpstcowibktsbzqz', 'whatsapp', '8613421800637', 'secur', 'accesscontrol', 'accesscontrolsystem', 'biometr', 'healthcod', 'qrcode', 'greenpass', 'httpstco9o2jbf1xpn']"
52,"['vaxxtyranny', 'greenpass', 'covidvaccine']","['inhuman', 'race', 'follow', 'bio', 'genocid', 'vaxxtyranni', 'greenpass', 'covidvaccin', 'forbiddenmet', 'httpstcoupdep4ewrq']"
53,"['greenpass', 'getvaccinatednow', 'vaccinatevi_e_basta']","['ah', 'close', 'greenpass', 'getvaccinatednow', 'vaccinateviebasta', 'nurs', 'told', 'local', 'medium', 'roll', 'sleev', 'found', 'skin', 'rubberi', 'cold', 'pigment', 'light']"
54,"['mandatoryvaccination', 'greenpass', 'medicalapartheid']","['germani', 'learn', 'absolut', 'noth', 'histori', 'disgust', 'ancestr', 'countri', 'mandatoryvaccin', 'greenpass', 'medicalapartheid']"
55,"['vaccine', 'coronavirus', 'greenpass', 'italy', 'covid19', 'covidvaccine', 'novax']","['true', 'stori', 'vaccineskept', 'northern', 'itali', 'tri', 'get', 'vaccin', 'fake', 'foamrubb', 'arm', 'yesterday', 'could', 'qualifi', 'coronaviru', 'greenpass', 'wo', 'actual', 'get', 'shot', 'say', 'want', 'folk', 'itali', 'alway', 'innov', 'covid19', 'covidvaccin', 'novax', 'httpstcoj8sbtopccj']"
56,"['supergreenpass', 'greenpass', 'greenpassobbligatorio']","['alinomilan', 'caro', 'leader', 'supergreenpass', 'greenpass', 'greenpassobbligatorio', 'httpstco6rulwrmh4l']"
57,"['greenpass', 'pasaportecovid', 'pasesanitario', 'covid19', 'omicron']","['stop', 'inappropri', 'stigmatis', 'unvaccin', 'peopl', 'includ', 'patient', 'colleagu', 'fellow', 'citizen', 'put', 'extra', 'effort', 'bring', 'societi', 'togeth', 'greenpass', 'pasaportecovid', 'pasesanitario', 'covid19', 'omicron', 'httpstcojlbhs1hjg3']"
58,['greenpass'],"['stay', 'home', 'dont', 'use', 'greenpass', 'httpstcoby1deaaghr']"
59,"['covid19', 'greenpassrafforzato', 'greenpass']","['genial', '😂', 'covid19', 'greenpassrafforzato', 'greenpass', 'httpstcott4fjkncem']"
60,['greenpass'],"['greenpass', 'think', 'enter', 'countri', 'anywher', 'world']"
61,"['novax', 'greenpass', 'novax']","['noth', 'like', '1930', 'public', 'administr', '3', 'elect', 'offic', 'make', 'propos', 'novax', 'unwelcom', 'greenpass', 'novax', 'valid', 'altern', 'equip', 'nonvaccin', 'peopl', 'distinct', 'sign', 'order', 'prevent', 'access', 'social', 'network']"
62,"['luxembourg', 'mbs', 'covidcheck', 'passedelahonte', 'passesanitaire', 'greenpass']","['luxembourg', 'mb', 'mayb', 'block', 'bridg', 'kirchberg', 'covidcheck', 'passedelahont', 'passesanitair', 'greenpass', 'httpstcohpucjvlxlz']"
63,"['fightforfreedom', 'resistance', 'eucommission', 'greenpass', 'covidpassport', 'passsanitaire']","['mep', 'fight', 'freedom', 'eu', 'defend', 'peopl', 'right', 'mandatori', 'digit', 'certif', 'httpstcobpyy7crtuy', 'fightforfreedom', 'resist', 'eucommiss', 'greenpass', 'covidpassport', 'passsanitair']"
64,"['italy', 'greenpass', 'dontfuckwithitalians', 'theywillendyou', 'mafialikebalkans']","['hear', 'itali', 'introduc', 'super', 'greenpass', 'lock', 'peski', 'healthi', 'antivaxx', 'public', 'space', 'italian', 'burn', 'govern', 'build', '3', '2', '1', 'dontfuckwithitalian', 'theywillendy', 'mafialikebalkan']"
65,"['greenpass', 'nogreenpass', 'nomandatoryvaccine']","['support', 'posit', 'patriarch', 'romania', 'greenpass', 'certif', 'church', 'access', 'sacr', 'space', 'cannot', 'condit', 'goe', 'public', 'space', 'nogreenpass', 'nomandatoryvaccin', 'httpstcohasbvnoyqx']"
66,"['covid19', 'plandemic', 'event201', 'koronafi', 'koronarokote', 'koronapassi', 'greenpass', 'pcrtestpandemic', 'crimesagainsthumanity', 'nuremberg2', 'nuremberg2ticktock', 'yle', 'thl']","['bayer', 'execut', 'mrna', 'shot', '‘gene', 'therapy’', 'market', '‘vaccines’', 'gain', 'public', 'trust', 'covid19', 'plandem', 'event201', 'koronafi', 'koronarokot', 'koronapassi', 'greenpass', 'pcrtestpandem', 'crimesagainsthuman', 'nuremberg2', 'nuremberg2ticktock', 'yle', 'thl', 'httpstcog3h9r7igew']"
67,"['covidcheck', 'passesanitaire', 'greenpass']","['doctor', 'talk', 'health', 'complet', 'ok', 'dont', 'alway', 'agre', 'scienc', 'mean', 'studi', 'investig', 'question', 'dont', 'follow', 'blindli', 'order', 'govern', 'say', 'covidcheck', 'passesanitair', 'greenpass']"
68,"['eu', 'covid19', 'greenpass', 'koronafi', 'koronarokotus', 'koronapassi', 'yle', 'mediapooli', 'nato', 'hybridikeskus', 'fakenews', 'nuremberg2']","['lancet', 'admit', 'it’', 'pandem', 'vaccin', 'amp', 'evid', 'show', 'omicron', 'danger', 'eu', 'covid19', 'greenpass', 'koronafi', 'koronarokotu', 'koronapassi', 'yle', 'yleuutiset', 'mediapooli', 'nato', 'hybridikesku', 'fakenew', 'lie', '247', '2', 'year', 'nuremberg2', 'httpstcoemljezpmr7']"
69,"['time4stream', 'skytg24', 'news', 'informazione', 'crewtv', 'broadcast', 'italia', 'liveu', 'covid19italia', 'sanità', 'update', 'cronaca', 'news', 'live', 'start', 'scuola', 'tamponi', 'greenpass', 'elezioni', 'comunali']","['live', 'broadcast', 'skytg24', 'milan', 'itali', 'time4stream', 'skytg24', 'news', 'informazion', 'crewtv', 'broadcast', 'italia🇮🇹', 'liveu', 'covid19italia', 'sanità', 'updat', 'cronaca', 'news', 'live', 'start', 'scuola', 'tamponi', 'greenpass', 'elezioni', 'comunali', 'httpstco3szmgrkm2t']"
70,"['greenpass', 'policebrutality', 'italy', 'mandatoryvaccination']","['certain', 'peopl', 'deni', 'access', 'local', 'bus', 'train', 'cinema', 'restaur', 'bar', 'episod', 'didnt', 'greenpass', 'er', 'would', 'deni', 'entri', 'policebrut', 'happen', 'daili', 'itali', 'slowli', 'becom', 'dictatorship', 'base', 'mandatoryvaccin']"
71,"['covidcheck', 'passedelahonte', 'greenpass']","['movi', 'covidcheck', 'passedelahont', 'greenpass']"
72,"['antivaxxer', 'greenpass']","['ok', 'pure', 'geniu', 'italian', 'antivaxx', 'wear', 'fake', 'silicon', 'arm', 'bid', 'obtain', 'covid', 'greenpass', 'without', 'get', 'actual', 'jab', 'httpstcoic5rrlazq7']"
73,"['news', 'vax', 'novax', 'nogreenpass', 'voto', 'draghi', 'greenpass', 'greenpasspremium', 'm5s', 'lega', 'salvini', 'fdi', 'leu', 'pd', 'pfizergate', 'terzadose', 'mivaccino', 'nessunacorrelazione', 'terzadose']","['dottorbarbieri', 'news', '⚠️⚠️⚠️', 'news', 'vax', 'novax', 'nogreenpass', 'voto', 'draghi', 'greenpass', 'greenpasspremium', 'm5', 'lega', 'salvini', 'fdi', 'leu', 'pd', 'pfizerg', 'terzados', 'mivaccino', 'nessunacorrelazion', 'terzados', 'httpstcoxihkjoow8o']"
74,"['news', 'vax', 'novax', 'nogreenpass', 'voto', 'draghi', 'greenpass', 'greenpasspremium', 'm5s', 'lega', 'salvini', 'fdi', 'leu', 'pd', 'pfizergate', 'terzadose', 'mivaccino', 'nessunacorrelazione', 'terzadose']","['news', '⚠️⚠️⚠️', 'news', 'vax', 'novax', 'nogreenpass', 'voto', 'draghi', 'greenpass', 'greenpasspremium', 'm5', 'lega', 'salvini', 'fdi', 'leu', 'pd', 'pfizerg', 'terzados', 'mivaccino', 'nessunacorrelazion', 'terzados', 'httpstcosrs8syo2p1']"
75,"['no', 'qrcode', 'greenpass', 'passsanitaire', 'eu', 'gates']","['henrikpalmgren', 'kristine29ha', 'call', 'good', 'health', 'pas', 'collabor', 'noth', 'health', 'warmong', 'world', 'domin', 'everi', 'politician', 'promot', 'corrupt', 'monster', 'say', 'qrcode', 'greenpass', 'passsanitair', 'eu', 'gate']"
76,"['greenpass', 'covidvaccine', 'covid19']","['fda', 'still', 'go', 'forward', 'booster', 'vaccin', 'child', 'document', 'releas', 'show', 'crazi', 'number', 'advers', 'effect', 'desth', '2', 'month', 'someon', 'explain', 'greenpass', 'covidvaccin', 'covid19']"
77,"['bosnian', 'covid', 'greenpass', 'redline', 'novaccinepassports', 'novaccinemandate']","['🚨break', 'news', '💥', 'bosnian', 'suprem', 'court', 'suspend', 'covid', 'pas', 'bosnia', 'oblig', 'covid', 'pas', 'video', 'show', 'mirn', 'ajanov', 'lead', 'lawsuit', 'decis', 'final‼️', 'greenpass', 'redlin', 'novaccinepassport', 'novaccinemand']"
78,['greenpass'],"['drskue', 'pkudrel', 'stil', 'introduc', 'greenpass', 'covid', 'totalitarian', 'social', 'credit', 'control', 'get', 'open', 'eye', 'freedom']"
79,"['norway', 'omicron', 'greenpass']","['⚠️norway', '4', 'individu', 'carrier', 'omicron', 'vaccinated‼️', 'greenpass', 'useless', 'danger', 'vaccin', 'peopl', 'contamin', 'countri', 'australia', 'vaccin', 'peopl', 'must', 'test', 'mrnadna', 'vaccin', 'caus', 'disaster‼️']"
80,"['museums', 'venice', 'greenpass']","['plan', 'visit', 'museum', 'venic', 'ducalevenezia', 'carezzonico', 'visitmuveit', 'dec', '6', 'jan', '15', 'allow', 'greenpass', 'mean', 'neg', 'c19', 'test', 'wont', 'work', 'ph', 'museum', 'websit', 'httpstcozouxtuwsqw']"
81,"['eu', 'greenpass', 'vaccine', 'bigpharma', 'id', 'corona']","['booster', 'vaccin', 'everi', 'nine', 'month', 'eu', 'vaccin', 'subscript', 'take', 'shape', 'greenpass', 'longer', 'valid', 'one', 'year', 'regardless', 'vaccin', 'citizen', 'betray', 'sold', 'bigpharma', 'id', 'corona', 'andersonafdmdep']"
82,"['covid19belgique', 'covid19belgie', 'covid19be', 'greenpass', 'ehealth', 'digitalcontrol']","['covid19belgiqu', 'covid19belgi', 'covid19b', 'notrebondroit', 'want', 'follow', 'belgian', 'organ', 'made', 'greenpass', 'go', 'away', 'ehealth', 'digitalcontrol']"
83,"['wuming', 'italy', 'greenpass']","['wume', 'differ', 'count', 'itali', 'greenpass', 'hate', 'campaign', 'httpstcowgicm6ordg']"
84,"['vpass', 'greenpass']","['breaking911', 'travel', 'countri', 'appli', 'vpass', 'atau', 'greenpass', 'idiot']"
85,"['vaccinepassports', 'greenpass']","['ollysmithtravel', 'ollysmithtravel', 'fulli', 'agre', 'vaccinepassport', 'greenpass', 'absolut', 'nonsens', 'howev', 'post', 'like', 'pl', 'includ', 'offici', 'sourc', 'ppl', 'lazi', 'real', 'due', 'dilig', '👍']"
86,"['covid19', 'koronafi', 'koronarokote', 'koronapassi', 'greenpass', 'truth', 'pcrtestpandemic', 'crimesagainsthumanity', 'yle', 'mediapooli', 'hybridikeskus', 'operationmockingbird', 'nato', 'eu']","['belgian', 'court', 'rule', 'covid', 'pas', 'illeg', 'wallonia', 'covid19', 'koronafi', 'koronarokot', 'koronapassi', 'greenpass', 'truth', 'pcrtestpandem', 'crimesagainsthuman', 'yle', 'yleuutiset', 'mediapooli', 'hybridikesku', 'operationmockingbird', 'nato', 'eusoviet', 'union', '20', 'httpstcozfpslnkmeh']"
87,['greenpass'],"['svl1971', 'petersweden7', 'didnt', 'one', 'hope', 'mad', 'compulsori', 'vaccin', 'stop', 'go', 'forward', 'greenpass', 'alreadi', 'way', 'forc', 'u', 'take', 'vaccin']"
88,"['vaccini', 'follia', 'biopolitica', 'greenpass', 'nogreenpass', 'supergreenpass', 'neonazismo']","['black', 'book', 'vaccini', 'follia', 'biopolitica', 'greenpass', 'nogreenpass', 'supergreenpass', 'neonazismo', 'httpstco0zcvgtwmeu']"
89,"['greenpass', 'vaccinated', 'novax', 'uk', 'usa', 'italia', 'bulgaria', 'germany', 'austria', 'covid19']","['gate', 'heaven', 'deadman', 'here', 'greenpass', 'god', 'deadman', 'church', 'want', '1', 'enter', 'god', 'necessari', 'even', 'im', 'vaccin', 'moral', 'even', 'god', 'novax', 'peopl', 'uk', 'usa', 'italia', 'bulgaria', 'germani', 'austria', 'italianew', 'covid19']"
90,"['novax', 'nogreenpass', 'ssn', 'covid', 'greenpass']","['farlontakeyr', 'jimmysonatin', 'fact', 'said', 'novax', 'nogreenpass', 'pay', 'treatment', 'italian', 'ssn', 'pas', 'today', 'free', 'god', 'forbid', 'continu', 'save', 'dement', 'peopl', 'fall', 'ill', 'covid', 'go', 'around', 'demonstr', 'greenpass', 'pure', 'mad']"
91,"['covidpass', 'resistencia', 'gobiernodimisión', 'eufailed', 'donotcomply', 'democraciatotalitaria', 'greenpass', 'pasaportecovid']","['covidpass', 'deem', 'illeg', 'belgium', 'manhattan2', 'resistencia', 'gobiernodimisión', 'eufail', 'donotcompli', 'democraciatotalitaria', 'greenpass', 'pasaportecovid', 'httpstcojt3js822q9']"
92,"['italy', 'greenpass', 'jabbed', 'covid', 'office', 'cold', 'nogreenpass']","['itali', 'state', 'counselor', 'oppos', 'greenpass', 'allow', 'insid', 'state', 'hous', 'jab', 'covid', 'set', 'extern', 'offic', 'camp', 'work', 'cold', 'sinc', 'month', 'nogreenpass', 'reuter', 'bbcworld', 'ajenglish']"
93,"['securityexpo', 'munich', 'zkteco', 'zktecoeurope', 'biometrics', 'greenpass']","['zkteco', 'partner', 'bavaria', 'zeitsystem', 'exhibitor', 'securityexpo', '2021', 'munich', 'offici', 'open', 'bavaria´', 'minist', 'interior', 'joachim', 'herrmann', 'shown', 'zk', 'green', 'pas', 'solut', '→', 'httpstcoouioz0i1ss', 'zkteco', 'zktecoeurop', 'biometr', 'greenpass', 'httpstcojzwbqqn9ja']"
